name,station,Mean Bias,MAE,RMS Error,NRMSE,R,r^2,n
CP25,Fortress - Powerline Forest,5.23,27.103,34.991,0.09,0.92,0.847,10
E10,Fortress - Powerline Forest,-6.28,36.653,44.982,0.115,0.911,0.829,10
CP25,Marmot - Upper Forest,8.808,19.445,24.197,0.252,0.723,0.523,16
E10,Marmot - Upper Forest,-6.059,25.35,31.986,0.334,0.8,0.64,16
CP25,Russell - Old Growth,-188.749,188.749,211.188,1.074,1,1,2
E10,Russell - Old Growth,-568.583,568.583,579.357,2.946,1,1,2
CP25,Wolf Creek - Forest,9.673,14.159,18.058,0.285,0.952,0.906,7
E10,Wolf Creek - Forest,-5.24,17.408,23.496,0.37,0.779,0.607,7
