name,station,Mean Bias,MAE,RMS Error,NRMSE,R,r^2,n
CP25,Fortress - Powerline Forest,7.3,20.696,27.904,0.118,0.892,0.796,10
CP25,Marmot - Upper Forest,5.243,12.235,14.492,0.251,0.776,0.603,16
CP25,Russell - Old Growth,-137.291,137.291,161.613,1.125,1,1,2
CP25,Wolf Creek - Forest,7.304,9.463,12.155,0.333,0.895,0.801,7
E10,Fortress - Powerline Forest,-5.124,25.798,31.002,0.132,0.882,0.777,10
E10,Marmot - Upper Forest,-4.564,16.975,23.144,0.401,0.788,0.62,16
E10,Russell - Old Growth,-516.337,516.337,538.503,3.748,1,1,2
E10,Wolf Creek - Forest,-4.551,13.499,15.85,0.434,0.728,0.53,7
