name,station,Mean Bias,MAE,RMS Error,NRMSE,R,r^2,n
CP25,Fortress - Powerline Forest,9.439,26.745,35.788,0.092,0.919,0.845,10
E10,Fortress - Powerline Forest,-6.28,36.653,44.982,0.115,0.911,0.829,10
CP25,Marmot - Upper Forest,12.442,22.101,25.722,0.268,0.727,0.528,16
E10,Marmot - Upper Forest,-6.059,25.35,31.986,0.334,0.8,0.64,16
CP25,Russell - Old Growth,-171.535,171.535,190.603,0.969,1,1,2
E10,Russell - Old Growth,-568.583,568.583,579.357,2.946,1,1,2
CP25,Wolf Creek - Forest,11.253,14.978,19.157,0.302,0.95,0.903,7
E10,Wolf Creek - Forest,-5.24,17.408,23.496,0.37,0.779,0.607,7
