name,station,Mean Bias,MAE,RMS Error,NRMSE,R,r^2
CP25,Fortress - Powerline Forest,3.368,23.087,32.537,0.083,0.929,0.863
E10,Fortress - Powerline Forest,-10.883,35.831,44.56,0.114,0.916,0.84
CP25,Marmot - Upper Forest,12.442,22.101,25.722,0.268,0.727,0.528
E10,Marmot - Upper Forest,-6.059,25.35,31.986,0.334,0.8,0.64
CP25,Russell - Old Growth,-171.535,171.535,190.603,0.969,1,1
E10,Russell - Old Growth,-484.241,484.241,491.352,2.499,1,1
CP25,Wolf Creek - Forest,11.257,14.974,19.157,0.302,0.95,0.903
E10,Wolf Creek - Forest,-5.245,17.413,23.502,0.371,0.779,0.607
